"observacion","a","b","likelihood"
"138_235","43.0372540973","0.000934637423426","-426.200797832"
"139_235","56.6515366761","-0.0296885392711","-1047.38882026"
"140_235","78.9575683942","-0.074048178044","-2156.31482688"
"141_235","101.393195883","-0.109014257902","-2687.99091013"
"142_235","113.031600734","-0.0977533741012","-2267.52534077"
"143_235","107.770242292","-0.0357063822391","-4656.85897672"
"144_235","88.7454172141","0.0318293557369","-3346.59700616"
"145_235","77.9222579374","0.0410755680285","-2442.13073848"
"146_235","85.4990477106","-0.00312902971899","-2441.66470348"
"147_235","97.7775579962","-0.0427858519926","-655.867331217"
"138_236","33.6267990557","0.00851387320471","-347.75539095"
"139_236","47.3136992681","-0.0240269580374","-1245.80357419"
"140_236","71.8985058471","-0.0792489943846","-3701.80858458"
"141_236","100.885053542","-0.136932379506","-6570.95229312"
"142_236","122.833260298","-0.152859372169","-3989.03274768"
"143_236","128.384979348","-0.102110533061","-3820.46634514"
"144_236","112.312019852","-0.0121119224134","-5383.44846571"
"145_236","88.1331927181","0.0592912359691","-2191.50876763"
"146_236","82.9254663032","0.0517057791982","-2912.53700837"
"147_236","95.2108266981","-0.00805970850137","-2984.51876685"
"138_237","25.2170089601","0.0108674914346","-596.605675792"
"139_237","36.0911818854","-0.0115929110502","-823.088396786"
"140_237","59.3063163683","-0.0658921679797","-2096.09449696"
"141_237","89.3870997433","-0.132120907263","-4972.60331082"
"142_237","121.782892747","-0.184993119561","-4413.78639058"
"143_237","141.520514123","-0.171514963428","-3099.84255716"
"144_237","134.231351267","-0.0869371558105","-5205.95521083"
"145_237","110.417759081","0.00977121827853","-3081.23404422"
"146_237","94.2043767155","0.0560823886627","-2471.34794975"
"147_237","95.8901221161","0.0294257178721","-3195.49996198"
"138_238","15.4432391632","0.0216557789948","-1089.38441233"
"139_238","19.9673036142","0.0148042258446","-1118.96835567"
"140_238","33.2886489866","-0.0167832421325","-795.2088056"
"141_238","64.3700859618","-0.0973743616505","-1880.66826442"
"142_238","108.950124534","-0.18990432691","-3116.04348821"
"143_238","141.948993363","-0.215001549166","-3592.76621838"
"144_238","145.10085738","-0.150676523","-4366.80764924"
"145_238","130.819025002","-0.0603658025663","-3136.15369051"
"146_238","118.080967192","-0.00473375371939","-2601.92657523"
"147_238","112.79491377","0.00663897223818","-3061.75112199"
"138_239","4.20684638934","0.0390451210308","-1520.34908678"
"139_239","2.84122483448","0.0425154668166","-1698.72476314"
"140_239","1.48039968684","0.0394956386615","-1605.98511969"
"141_239","20.7762242868","-0.024374166833","-1011.52243307"
"142_239","73.262949795","-0.15510794394","-2766.39325323"
"143_239","125.805144612","-0.237386558563","-4157.47388614"
"144_239","143.236537353","-0.202205552237","-4438.78683773"
"145_239","139.795659739","-0.122904712481","-3231.72104327"
"146_239","132.21309058","-0.0579616670267","-1874.06363812"
"147_239","129.437271004","-0.0373270857772","-1390.58822836"
"138_240","-9.29593520894","0.0615839685152","-1207.56268386"
"139_240","-10.9381781507","0.0600593020453","-1053.29097575"
"140_240","-21.2575122505","0.0798569547596","-1637.84705409"
"141_240","-21.8111515405","0.0591694631149","-852.151651092"
"142_240","18.4765405451","-0.0656701179563","-1766.22311432"
"143_240","85.6944057727","-0.213545743075","-2965.3640363"
"144_240","125.401724556","-0.237079978262","-3475.47957614"
"145_240","131.190778395","-0.163121596153","-3145.98792303"
"146_240","128.904563132","-0.0909843686885","-3526.45367898"
"147_240","131.104757453","-0.061219903611","-1596.39068487"
"138_241","-16.6994027163","0.0663616167898","-679.360134741"
"139_241","-16.4236305877","0.0630498155266","-811.056781346"
"140_241","-23.9899758521","0.079552712228","-1760.28025404"
"141_241","-35.1418539032","0.0882476683804","-2235.99486114"
"142_241","-19.071599078","0.00727859482172","-2051.85363967"
"143_241","38.05468341","-0.148052493369","-1957.35984638"
"144_241","91.5684578484","-0.221824646161","-3347.8228703"
"145_241","109.389501652","-0.170301548985","-2162.90311486"
"146_241","109.408233924","-0.0933915211887","-2102.73026477"
"147_241","114.965853834","-0.0622749123341","-3454.2574963"
"138_242","-11.8231338753","0.0457806220158","-465.327658538"
"139_242","-11.5984054649","0.0475236334372","-820.862803839"
"140_242","-18.3526568219","0.0666169295648","-2455.70831338"
"141_242","-32.1417042716","0.0847875413451","-5197.15486564"
"142_242","-36.3376651194","0.0469347972268","-5190.98044241"
"143_242","-4.21240325221","-0.0703351558819","-2382.58745102"
"144_242","47.7009142426","-0.162013870708","-3907.15058818"
"145_242","81.1868486388","-0.14992932748","-4590.67712386"
"146_242","87.592561927","-0.0791547888404","-1075.93449326"
"147_242","90.6184180594","-0.036386812611","-1489.01753384"
"138_243","-6.08458290595","0.0267909613722","-373.637162394"
"139_243","-6.50112572068","0.0346590756656","-456.22177424"
"140_243","-10.9169138388","0.0469780765142","-1292.11713953"
"141_243","-23.0199553583","0.0679096070645","-3987.63410016"
"142_243","-35.2616304324","0.0589463159779","-4604.86743566"
"143_243","-30.8772577933","-0.00132287295958","-1849.82116916"
"144_243","2.31757171028","-0.0776072985836","-1469.65133025"
"145_243","43.4685340601","-0.101695652349","-3636.81452285"
"146_243","66.3400623676","-0.0668888080207","-2445.03801659"
"147_243","71.2299536571","-0.0166731090064","-702.539329783"
"138_244","-3.2865029147","0.0174742923918","-473.230259538"
"139_244","-3.00959438544","0.0264161236723","-583.529355327"
"140_244","-5.27591563169","0.0366029459547","-851.565675032"
"141_244","-11.7326208676","0.0489859570048","-1855.92873376"
"142_244","-24.2007281623","0.0567991714617","-2889.45723209"
"143_244","-32.5330093684","0.0322603565398","-2143.24498248"
"144_244","-25.1380253951","-0.00240300217716","-1323.45858972"
"145_244","4.12249148217","-0.0306598676133","-2149.22622823"
"146_244","37.8619305626","-0.0402458883425","-2387.95317634"
"147_244","55.429132294","-0.019955450947","-1301.36029773"
